bucket,brand_name,brand_slug,official_url,source_anchor,notes
niche,Xerjoff,xerjoff,https://www.xerjoff.com/en-us,Fragrantica home top brands + registry,Core niche luxury house.
niche,Amouage,amouage,https://www.amouage.com/,Fragrantica designer page,Major Middle Eastern niche house.
niche,Parfums de Marly,parfums-de-marly,https://www.parfums-de-marly.com/,Fragrantica designer page,Popular niche-luxury house.
niche,Nishane,nishane,https://www.nishane.com/,Fragrantica niche-house page,Modern Turkish niche house.
niche,Initio Parfums Prives,initio-parfums-prives,https://www.initio-parfums.com/,Registry + niche shortlist,High-end niche line with a focused catalog.
niche,Etat Libre d'Orange,etat-libre-d-orange,https://etatlibredorange.com/,Registry + niche shortlist,Editorial niche house.
niche,Mancera,mancera,https://manceraparfums.com/,Registry + niche shortlist,High-output niche house.
niche,Montale,montale,https://www.montaleparfums.com/,Registry + niche shortlist,Long-running niche house with broad depth.
niche,Memo Paris,memo-paris,https://www.memoparis.com/,Fragrantica niche-house page,Travel-story niche house.
niche,Maison Crivelli,maison-crivelli,https://maisoncrivelli.com/en-us/,Official site,Modern niche house with strong product storytelling.
niche,Ormonde Jayne,ormonde-jayne,https://ormondejayne.com/en-us,Official site,Niche British house.
niche,Essential Parfums,essential-parfums,https://www.essentialparfums.com/en/,Official site,Minimalist niche house.
niche,Puredistance,puredistance,https://www.puredistance.com/,Fragrantica designer page,Very exclusive extrait-focused house.
niche,Houbigant,houbigant,https://www.houbigant-parfum.com/,Fragrantica designer page,Historic house with modern niche output.
niche,Aedes de Venustas,aedes-de-venustas,https://aedesdevenustas.com/,Official site,New York niche perfume house.
niche,Parfums MDCI,parfums-mdci,https://parfumsmdci.com/,Official site,Art-driven French niche house.
niche,Penhaligon's,penhaligons,https://www.penhaligons.com/uk/en,Registry + niche shortlist,Heritage niche/luxury house.
niche,Serge Lutens,serge-lutens,https://sergelutens.com/en/,Registry + niche shortlist,Classic avant-garde niche house.
niche,Le Labo,le-labo,https://www.lelabofragrances.com/,Registry + niche shortlist,Artisanal urban niche house.
niche,By Kilian,by-kilian,https://www.bykilian.com/,Registry + niche shortlist,Luxury niche with strong signature lines.
niche,Maison Francis Kurkdjian,maison-francis-kurkdjian,https://www.maisonfranciskurkdjian.com/,Registry + niche shortlist,Prestige niche-luxury house.
niche,Creed,creed,https://www.creedboutique.com/,Fragrantica designer page,Heritage luxury niche house.
niche,Diptyque,diptyque,https://www.diptyqueparis.com/,Registry + niche shortlist,Prestige home-and-fragrance house.
niche,Frederic Malle,frederic-malle,https://www.fredericmalle.com/,Registry + niche shortlist,Curated fragrance editor house.
niche,L'Artisan Parfumeur,l-artisan-parfumeur,https://www.artisanparfumeur.com/us/en_US/,Fragrantica designer page,Foundational niche French house.
niche,Heeley,heeley,https://www.heeley.com/,Official site,Minimalist indie niche house.
niche,Carner Barcelona,carner-barcelona,https://www.carnerbarcelona.com/,Official site,Contemporary niche house.
niche,D.S. & Durga,ds-and-durga,https://dsanddurga.com/,Official site,American indie niche house.
niche,Zoologist Perfumes,zoologist-perfumes,https://www.zoologistperfumes.com/,Official site,Conceptual indie niche house.
niche,Imaginary Authors,imaginary-authors,https://imaginaryauthors.com/,Official site,Story-driven indie niche house.
niche,Tauer Perfumes,tauer-perfumes,https://www.tauerperfumes.com/,Official site,Independent Swiss niche house.
niche,Bortnikoff,bortnikoff,https://bortnikoff.com/,Official site,High-end artisan niche house.
niche,Spirit of Dubai,spirit-of-dubai,https://www.spiritofdubai.com/,Official site,Opulent Middle Eastern niche house.
niche,The House of Oud,the-house-of-oud,https://www.thehouseofoud.com/,Official site,Art-forward oud-focused house.
niche,Atelier Cologne,atelier-cologne,https://www.ateliercologne.com/,Official site,Fresh-citrus leaning niche house.
niche,Henry Jacques,henry-jacques,https://www.henryjacques.com/,Official site,Ultra-luxury bespoke fragrance house.
niche,Vilhelm Parfumerie,vilhelm-parfumerie,https://www.vilhelmparfumerie.com/,Official site,Stylish contemporary niche house.
niche,Commodity Fragrances,commodity-fragrances,https://commodityfragrances.com/,Official site,Modern niche with modular line structure.
niche,Fragrance du Bois,fragrance-du-bois,https://www.fragrancedubois.com/,Official site,Rich woody niche house.
niche,Akro,akro,https://akrofragrances.com/,Official site,Conceptual niche house.
niche,Room 1015,room-1015,https://room1015.com/,Official site,Music and counterculture niche house.
niche,Parle Moi de Parfum,parle-moi-de-parfum,https://parlemoideparfum.com/,Official site,Quiet French niche house.
niche,Maison Tahité,maison-tahite,https://www.maison-tahite.com/,Official site,Playful gourmand niche house.
niche,Jusbox Perfumes,jusbox-perfumes,https://jusboxperfumes.com/,Official site,Music-themed niche house.
niche,27 87,27-87,https://www.27-87.com/,Official site,Barcelona-based niche house.
niche,Marissa Zappas,marissa-zappas,https://marissazappas.com/,Official site,Artisanal New York niche house.
niche,Kerosene,kerosene,https://kerosenelabs.com/,Official site,Independent experimental niche house.
niche,Be Layered,be-layered,https://belayered.com/,Official site,Layering-focused niche house.
niche,Juliette Has a Gun,juliette-has-a-gun,https://www.juliettehasagun.com/en/,Official site,Modern niche house with strong retail presence.
niche,Orto Parisi,orto-parisi,https://ortoparisi.com/,Official site,Provocative artistic niche house.
